id_ville,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
31975,79,lezay,LEZAY,lezay,Lezay,L200,LS,79120,148,79148,2,13,5,2066,2092,2100,45,45.63,-0.016667,46.2667,-2606,51405,-00031,461552,118,173
31979,79,mougon,MOUGON,mougon,Mougon,M250,MKN,79370,185,79185,2,06,6,2044,1509,1900,96,21.29,-0.283333,46.2917,-2916,51440,-01717,461745,44,131
31980,79,fors,FORS,fors,Fors,F620,FRS,79230,125,79125,2,23,6,1684,1347,1600,89,18.82,-0.4,46.2333,-3051,51374,-02433,461411,25,66
31981,79,chiche,CHICHE,chiche,Chiché,C000,XX,79350,088,79088,1,04,6,1633,1343,1600,34,46.99,-0.366667,46.8,-2996,51998,-02136,464753,105,217
31983,79,magne-79,MAGNE,magne,Magné,M250,MKN,79460,162,79162,2,21,6,2820,2850,2900,190,14.8,-0.55,46.3167,-3204,51461,-03248,461853,0,39
31988,79,cerizay,CERIZAY,cerizay,Cerizay,C620,SRS,79140,062,79062,1,07,5,4660,4584,4600,251,18.55,-0.666667,46.8167,-3335,52024,-03953,464917,143,217
31993,79,parthenay,PARTHENAY,parthenay,Parthenay,P635,PR0N,79200,202,79202,3,22,4,10478,10473,10400,920,11.38,-0.25,46.65,-2870,51832,-01449,463855,114,184
31994,79,chef-boutonne,CHEF-BOUTONNE,"chef boutonne",Chef-Boutonne,C135,XFBTN,79110,083,79083,2,10,5,2126,2215,2200,107,19.81,-0.05,46.1,-2673,51233,-00410,460635,71,146
32000,79,pompaire,POMPAIRE,pompaire,Pompaire,P516,PMPR,79200,213,79213,3,22,6,1958,1811,1900,152,12.8,-0.233333,46.6167,-2855,51787,-01360,463630,133,198
32004,79,niort,NIORT,niort,Niort,N630,NRT,79000,191,79191,2,98,3,57325,56661,58100,840,68.2,-0.466667,46.3167,-3110,51472,-02744,461930,2,77
32013,79,celles-sur-belle,CELLES-SUR-BELLE,"celles sur belle",Celles-sur-Belle,C42614,SLSSRBL,79370,061,79061,2,06,5,3753,3478,3700,100,37.24,-0.2,46.2667,-2831,51402,-01240,461543,60,162
32014,79,vasles,VASLES,vasles,Vasles,V242,FSLS,79340,339,79339,3,17,6,1706,1563,1700,19,89.16,-0.016667,46.5833,-2624,51750,-00131,463431,130,227
